INIT,operator_start,0,-,Idle

Idle,Msg,1,-,Idle
Idle,Msg,2,-,Connect
Idle,Msg,3,-,Final

Connect,Msg,1,-,Connect
Connect,Msg,2,-,OpenSent
Connect,Msg,3,-,Active
Connect,Msg,4,-,Idle
Connect,Msg,5,-,Final

Active,Msg,1,-,Active
Active,Msg,2,-,Connect
Active,Msg,3,-,OpenSent
Active,Msg,4,-,Idle
Active,Msg,5,-,Final


OpenSent,Msg,0,-,OpenSent
OpenSent,Msg,1,-,OpenConfirm
OpenSent,Msg,2,-,Active
OpenSent,Msg,3,-,Idle
OpenSent,Msg,4,-,Final

OpenConfirm,Msg,1,-,Idle
OpenConfirm,Msg,2,-,OpenConfirm
OpenConfirm,Msg,3,-,Established
OpenConfirm,Msg,4,-,Final


Established,KEEPALIVE,1,-,Established
Established,UPDATE,1,-,Established
Established,Msg,1,-,Established
Established,Msg,2,-,Idle
Established,Msg,3,-,Final
